2025-05-19 14:26:59,992 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024072002/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240720.nc | Header Content-Type: text/html
2025-05-19 14:27:00,255 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024072102/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240721.nc | Header Content-Type: text/html
2025-05-19 14:27:00,517 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024072202/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240722.nc | Header Content-Type: text/html
2025-05-19 14:27:00,782 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024072302/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240723.nc | Header Content-Type: text/html
2025-05-19 14:27:01,045 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024072402/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240724.nc | Header Content-Type: text/html
2025-05-19 14:27:01,307 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024072502/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240725.nc | Header Content-Type: text/html
2025-05-19 14:27:01,573 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024072602/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240726.nc | Header Content-Type: text/html
2025-05-19 14:27:01,832 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024072702/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240727.nc | Header Content-Type: text/html
2025-05-19 14:27:02,113 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024072802/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240728.nc | Header Content-Type: text/html
2025-05-19 14:27:02,377 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024072902/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240729.nc | Header Content-Type: text/html
2025-05-19 14:27:02,640 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024073002/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240730.nc | Header Content-Type: text/html
2025-05-19 14:27:02,904 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024073102/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240731.nc | Header Content-Type: text/html
2025-05-19 14:27:03,172 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024080102/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240801.nc | Header Content-Type: text/html
2025-05-19 14:27:03,435 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024080202/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240802.nc | Header Content-Type: text/html
2025-05-19 14:27:03,697 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024080302/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240803.nc | Header Content-Type: text/html
2025-05-19 14:27:03,954 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024080402/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240804.nc | Header Content-Type: text/html
2025-05-19 14:27:04,216 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024080502/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240805.nc | Header Content-Type: text/html
2025-05-19 14:27:04,474 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024080602/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240806.nc | Header Content-Type: text/html
2025-05-19 14:27:04,738 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024080702/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240807.nc | Header Content-Type: text/html
2025-05-19 14:27:05,000 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024080802/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240808.nc | Header Content-Type: text/html
2025-05-19 14:27:05,263 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024080902/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240809.nc | Header Content-Type: text/html
2025-05-19 14:27:05,523 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024081002/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240810.nc | Header Content-Type: text/html
2025-05-19 14:27:05,788 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024081102/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240811.nc | Header Content-Type: text/html
2025-05-19 14:27:06,050 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024081202/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240812.nc | Header Content-Type: text/html
2025-05-19 14:27:06,324 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024081302/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240813.nc | Header Content-Type: text/html
2025-05-19 14:27:06,587 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024081402/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240814.nc | Header Content-Type: text/html
2025-05-19 14:27:06,852 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024081502/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240815.nc | Header Content-Type: text/html
2025-05-19 14:27:07,126 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-05/2024081602/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-05/dispersion_20240816.nc | Header Content-Type: text/html
