2025-05-19 13:44:21,847 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025050902/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250509.nc | Header Content-Type: text/html
2025-05-19 13:44:22,111 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025051002/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250510.nc | Header Content-Type: text/html
2025-05-19 13:44:22,374 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025051102/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250511.nc | Header Content-Type: text/html
2025-05-19 13:44:22,663 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025051202/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250512.nc | Header Content-Type: text/html
2025-05-19 13:44:22,920 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025051302/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250513.nc | Header Content-Type: text/html
2025-05-19 13:44:23,189 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025051402/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250514.nc | Header Content-Type: text/html
2025-05-19 13:44:23,451 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025051502/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250515.nc | Header Content-Type: text/html
2025-05-19 13:44:23,752 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025051602/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250516.nc | Header Content-Type: text/html
2025-05-19 13:44:24,015 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025051702/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250517.nc | Header Content-Type: text/html
2025-05-19 13:44:24,277 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025051802/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250518.nc | Header Content-Type: text/html
2025-05-19 13:44:24,586 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC18CA12-01/2025051902/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC18CA12-01/dispersion_20250519.nc | Header Content-Type: text/html
2025-05-19 13:44:24,855 [ERROR] Failed: https://firesmoke.ca/forecasts/BSC00CA12-01/2025041408/dispersion.nc -> /usr/sci/cedmav/data/firesmoke/download_5-19-2025/BSC00CA12-01/dispersion_20250414.nc | Header Content-Type: text/html
